EU003591	Vasilakis,N., Tesh,R.B. and Weaver,S.C.
MT982917	Fourie,T.B., Dubot-Peres,A., Grard,G., Piorkowski,G. and Leparc-Goffart,I.
MT261973	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261952	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261974	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT261975	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MT980927	Fourie,T.B., Dubot-Peres,A., Grard,G. and Piorkowski,G.

MT261955	Sangare,L., Tarnagda,Z., Mosore,M., Agbodzi,B., Yeboah,C., Kumordjie,S., Pratt,C., Wiley,M.R., Letizia,A., Fox,A. and Ampofo,W.
MH460898	Hill,S.C., Neto de Vasconcelos,J., Gutierrez Granja,B., Theze,J., Jandondo,D., Neto,Z., Mirandela,M., dos Santos Sebastiao,C., Micolo
MW481675	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481677	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481678	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481684	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481690	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481676	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481679	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481685	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481674	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481686	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481688	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
MW481673	Martinez,P.A., Neto,Z., Hill,S.C., Jandondo,D., Theze,J., Mirandela,M., Aguiar,R.S., Sebastiao,C.D., Candido,A.L., Vaz,F., Castro,G.R., Paixao,J.P., Loman,N.J., Lemey,P., Pybus,O.G., Vasconcelos,J., Faria,N.R. and Afonso,J.M.
